protocol,port,description
tcp,1542,gridgen-elmd
tcp,1543,simba-cs
tcp,1544,aspeclmd
tcp,1545,vistium-share
tcp,1546,abbaccuray
tcp,1547,laplink
tcp,1548,axon license manager
tcp,1549,shiva hose
tcp,1550,image storage license manager 3m company
tcp,1551,hecmtl-db
tcp,1552,pciarray
tcp,1553,sna-cs
tcp,1554,caci products company license manager
tcp,1555,livelan
tcp,1556,ashwin ci tecnologies
tcp,1557,arbortext license manager
tcp,1558,xingmpeg
tcp,1559,web2host
tcp,1560,asci-val
tcp,1561,facilityview
tcp,1562,pconnectmgr
tcp,1563,cadabra license manager
tcp,1564,pay-per-view
tcp,1565,windd
tcp,1566,corelvideo
tcp,1567,jlicelmd
tcp,1568,tsspmap
tcp,1569,ets
tcp,1570,orbixd
tcp,1571,oracle remote data base
tcp,1572,chipcom license manager
tcp,1573,itscomm-ns
tcp,1574,mvel-lm
tcp,1575,oraclenames
tcp,1576,moldflow-lm
tcp,1577,hypercube-lm
tcp,1578,jacobus license manager
tcp,1579,ioc-sea-lm
tcp,1580,tn-tl-r1
tcp,1581,mil-2045-47001
tcp,1582,msims
tcp,1583,simbaexpress
tcp,1584,tn-tl-fd2
tcp,1585,intv
tcp,1586,ibm-abtact
tcp,1587,pra_elmd
tcp,1588,triquest-lm
tcp,1589,vqp
tcp,1590,gemini-lm
tcp,1591,ncpm-pm
tcp,1592,commonspace
tcp,1593,mainsoft-lm
tcp,1594,sixtrak
tcp,1595,radio
tcp,1596,radio-sm
tcp,1597,orbplus-iiop
tcp,1598,picknfs
tcp,1599,simbaservices
tcp,1600,bofra-a worm / issd
tcp,1601,aas
tcp,1602,inspect
tcp,1603,pickodbc
tcp,1604,icabrowser
tcp,1605,salutation manager (salutation protocol)
tcp,1606,salutation manager (slm-api)
tcp,1607,stt
tcp,1608,smart corp. license manager
tcp,1609,isysg-lm
tcp,1610,taurus-wh
tcp,1611,inter library loan
tcp,1612,netbill transaction server
tcp,1613,netbill key repository
tcp,1614,netbill credential server
tcp,1615,netbill authorization server
tcp,1616,netbill product server
tcp,1617,nimrod inter-agent communication
tcp,1618,skytelnet
tcp,1619,xs-openstorage
tcp,1620,faxportwinport
tcp,1621,softdataphone
tcp,1622,ontime
tcp,1623,jaleosnd
tcp,1624,udp-sr-port
tcp,1625,svs-omagent
tcp,1626,shockwave
tcp,1627,t.128 gateway
tcp,1628,lontalk normal
tcp,1629,lontalk urgent
tcp,1630,oracle net8 cman
tcp,1631,visit view
tcp,1632,pammratc
tcp,1633,pammrpc
tcp,1634,log on america probe
tcp,1635,edb server 1
tcp,1636,cablenet control protocol
tcp,1637,cablenet admin protocol
tcp,1638,bofra-a worm / cablenet info protocol
tcp,1639,cert-initiator
tcp,1640,cert-responder
tcp,1641,invision
tcp,1642,isis-am
tcp,1643,isis-ambc
tcp,1644,satellite-data acquisition system 4
tcp,1645,datametrics
tcp,1646,sa-msg-port
tcp,1647,rsap
tcp,1648,concurrent-lm
tcp,1649,kermit
tcp,1650,nkd
tcp,1651,shiva_confsrvr
tcp,1652,xnmp
tcp,1653,alphatech-lm
tcp,1654,stargatealerts
tcp,1655,dec-mbadmin
tcp,1656,dec-mbadmin-h
tcp,1657,fujitsu-mmpdc
tcp,1658,sixnetudr
tcp,1659,silicon grail license manager
tcp,1660,skip-mc-gikreq
tcp,1661,netview-aix-1
tcp,1662,netview-aix-2
tcp,1663,netview-aix-3
tcp,1664,netview-aix-4
tcp,1665,netview-aix-5
tcp,1666,netview-aix-6
tcp,1667,netview-aix-7
tcp,1668,netview-aix-8
tcp,1669,netview-aix-9
tcp,1670,netview-aix-10
tcp,1671,netview-aix-11
tcp,1672,netview-aix-12
tcp,1673,intel proshare multicast
tcp,1674,intel proshare multicast
tcp,1675,pacific data products
tcp,1676,netcomm1
tcp,1677,groupwise
tcp,1678,prolink
tcp,1679,darcorp-lm
tcp,1680,microcom-sbp
tcp,1681,sd-elmd
tcp,1682,lanyon-lantern
tcp,1683,ncpm-hip
tcp,1684,snaresecure
tcp,1685,n2nremote
tcp,1686,cvmon
tcp,1687,nsjtp-ctrl
tcp,1688,nsjtp-data
tcp,1689,firefox
tcp,1690,ng-umds
tcp,1691,empire-empuma
tcp,1692,sstsys-lm
tcp,1693,rrirtr
tcp,1694,rrimwm
tcp,1695,rrilwm
tcp,1696,rrifmm
tcp,1697,rrisat
tcp,1698,rsvp-encapsulation-1
tcp,1699,rsvp-encapsulation-2
tcp,1700,mps-raft
tcp,1701,l2tp / aol
tcp,1702,deskshare
tcp,1703,hb-engine
tcp,1704,bcs-broker
tcp,1705,slingshot
tcp,1706,jetform
tcp,1707,vdmplay
tcp,1708,gat-lmd
tcp,1709,centra
tcp,1710,impera
tcp,1711,pptconference
tcp,1712,resource monitoring service
tcp,1713,conferencetalk
tcp,1714,sesi-lm
tcp,1715,houdini-lm
tcp,1716,xmsg
tcp,1717,fj-hdnet
tcp,1718,h323gatedisc
tcp,1719,h323gatestat
tcp,1720,h323hostcall
tcp,1721,caicci
tcp,1722,hks license manager
tcp,1723,pptp
tcp,1724,csbphonemaster
tcp,1725,iden-ralp
tcp,1726,iberiagames
tcp,1727,winddx
tcp,1728,telindus
tcp,1729,citynl license management
tcp,1730,roketz
tcp,1731,ms netmeeting / audio call control / msiccp
tcp,1732,proxim
tcp,1733,sims - siipat protocol for alarm transmission
tcp,1734,camber corporation license management
tcp,1735,privatechat
tcp,1736,street-stream
tcp,1737,ultimad
tcp,1738,gamegen1
tcp,1739,webaccess
tcp,1740,encore
tcp,1741,cisco-net-mgmt
tcp,1742,3com-nsd
tcp,1743,cinema graphics license manager
tcp,1744,ncpm-ft
tcp,1745,isa server proxy autoconfig / remote winsock
tcp,1746,ftrapid-1
tcp,1747,ftrapid-2
tcp,1748,oracle-em1
tcp,1749,aspen-services
tcp,1750,simple socket library's portmaster
tcp,1751,swiftnet
tcp,1752,leap of faith research license manager
tcp,1753,translogic license manager
tcp,1754,oracle-em2
tcp,1755,microsoft streaming server
tcp,1756,capfast-lmd
tcp,1757,cnhrp
tcp,1758,tftp-mcast
tcp,1759,spss license manager
tcp,1760,www-ldap-gw
tcp,1761,cft-0
tcp,1762,cft-1
tcp,1763,cft-2
tcp,1764,cft-3
tcp,1765,cft-4
tcp,1766,cft-5
tcp,1767,cft-6
tcp,1768,cft-7
tcp,1769,bmc-net-adm
tcp,1770,bmc-net-svc
tcp,1771,vaultbase
tcp,1772,essweb gateway
tcp,1773,kmscontrol
tcp,1774,global-dtserv
tcp,1776,federal emergency management information system
tcp,1777,powerguardian
tcp,1778,prodigy-internet
tcp,1779,pharmasoft
tcp,1780,dpkeyserv
tcp,1781,answersoft-lm
tcp,1782,hp jetsend
tcp,1783,port 04/14/00 fujitsu.co.jp
tcp,1784,finle license manager
tcp,1785,wind river systems license manager
tcp,1786,funk-logger
tcp,1787,funk-license
tcp,1788,psmond
tcp,1789,hello
tcp,1790,narrative media streaming protocol
tcp,1791,ea1
tcp,1792,ibm-dt-2
tcp,1793,rsc-robot
tcp,1794,cera-bcm
tcp,1795,dpi-proxy
tcp,1796,vocaltec server administration
tcp,1797,uma
tcp,1798,event transfer protocol
tcp,1799,netrisk
tcp,1800,ansys-license manager
tcp,1801,microsoft message queuing
tcp,1802,concomp1
tcp,1803,hp-hcip-gwy
tcp,1804,enl
tcp,1805,enl-name
tcp,1806,musiconline
tcp,1807,fujitsu hot standby protocol
tcp,1808,oracle-vp2
tcp,1809,oracle-vp1
tcp,1810,jerand license manager
tcp,1811,scientia-sdb
tcp,1812,radius
tcp,1813,radius accounting / hacktool.sksocket
tcp,1814,tdp suite
tcp,1815,mmpft
tcp,1816,harp
tcp,1817,rkb-oscs
tcp,1818,enhanced trivial file transfer protocol
tcp,1819,plato license manager
tcp,1820,mcagent
tcp,1821,donnyworld
tcp,1822,es-elmd
tcp,1823,unisys natural language license manager
tcp,1824,metrics-pas
tcp,1825,direcpc video
tcp,1826,ardt
tcp,1827,asi
tcp,1828,itm-mcell-u
tcp,1829,optika emedia
tcp,1830,oracle net8 cman admin
tcp,1831,myrtle
tcp,1832,thoughttreasure
tcp,1833,udpradio
tcp,1834,ardus unicast
tcp,1835,ardus multicast
tcp,1836,ste-smsc
tcp,1837,csoft1
tcp,1838,talnet
tcp,1839,netopia-vo1
tcp,1840,netopia-vo2
tcp,1841,netopia-vo3
tcp,1842,netopia-vo4
tcp,1843,netopia-vo5
tcp,1844,direcpc-dll
tcp,1850,gsi
tcp,1851,ctcd
tcp,1860,sunscalar services
tcp,1861,lecroy vicp
tcp,1862,techra-server
tcp,1863,msn messenger
tcp,1864,paradym 31 port
tcp,1865,entp
tcp,1870,sunscalar dns service
tcp,1871,cano central 0
tcp,1872,cano central 1
tcp,1873,fjmpjps
tcp,1874,fjswapsnp
tcp,1881,ibm mqseries
tcp,1895,vista 4gl
tcp,1899,mc2studios
tcp,1900,ssdp
tcp,1901,fujitsu icl terminal emulator program a
tcp,1902,fujitsu icl terminal emulator program b
tcp,1903,local link name resolution
tcp,1904,fujitsu icl terminal emulator program c
tcp,1905,secure up.link gateway protocol
tcp,1906,tportmapperreq
tcp,1907,intrastar
tcp,1908,dawn
tcp,1909,global world link
tcp,1910,ultrabac
tcp,1911,starlight networks multimedia transport protocol
tcp,1912,rhp-iibp
tcp,1913,armadp
tcp,1914,elm-momentum
tcp,1915,facelink
tcp,1916,persoft persona
tcp,1917,noagent
tcp,1918,candle directory service - nds
tcp,1919,candle directory service - dch
tcp,1920,candle directory service - ferret
tcp,1921,noadmin
tcp,1922,tapestry
tcp,1923,spice
tcp,1924,xiip
tcp,1930,drive appserver
tcp,1931,amd sched
tcp,1944,close-combat
tcp,1945,dialogic-elmd
tcp,1946,tekpls
tcp,1947,hlserver
tcp,1948,eye2eye
tcp,1949,isma easdaq live
tcp,1950,isma easdaq test
tcp,1951,bcs-lmserver
tcp,1952,mpnjsc
tcp,1953,rapid base
tcp,1961,bts appserver
tcp,1962,biap-mp
tcp,1963,webmachine
tcp,1964,solid e engine
tcp,1965,tivoli npm
tcp,1966,slush
tcp,1967,sns quote
tcp,1972,cache
tcp,1973,data link switching remote access protocol
tcp,1974,drp
tcp,1975,tco flash agent
tcp,1976,tco reg agent
tcp,1977,tco address book
tcp,1978,unisql
tcp,1979,unisql java
tcp,1984,bb
tcp,1985,hot standby router protocol
tcp,1986,cisco license management
tcp,1987,cisco rsrb priority 1 port
tcp,1988,cisco rsrb priority 2 port
tcp,1989,mhsnet system
tcp,1990,cisco stun priority 1 port
tcp,1991,cisco stun priority 2 port
tcp,1992,ipsendmsg
tcp,1993,cisco snmp tcp port
tcp,1994,cisco serial tunnel port
tcp,1995,cisco perf port
tcp,1996,cisco remote srb port
tcp,1997,cisco gateway discovery protocol
tcp,1998,cisco x.25 service (xot)
tcp,1999,cisco identification port / subseven (windows trojan) / backdoor (windows trojan)
tcp,2000,remotely anywhere / via net.works postoffice plus
tcp,2001,cisco mgmt / remotely anywhere
tcp,2002,globe
tcp,2003,gnu finger
tcp,2004,mailbox
tcp,2005,encrypted symmetric telnet/login
tcp,2006,invokator
tcp,2007,dectalk
tcp,2008,conf
tcp,2009,news
tcp,2010,search
tcp,2011,raid
tcp,2012,ttyinfo
tcp,2013,raid-am
tcp,2014,troff
tcp,2015,cypress
tcp,2016,bootserver
tcp,2017,cypress-stat
tcp,2018,terminaldb
tcp,2019,whosockami
tcp,2020,xinupageserver
tcp,2021,servexec
tcp,2022,down
tcp,2023,xinuexpansion3
tcp,2024,xinuexpansion4
tcp,2025,ellpack
tcp,2026,scrabble
tcp,2027,shadowserver
tcp,2028,submitserver
tcp,2030,device2
tcp,2032,blackboard
tcp,2033,glogger
tcp,2034,scoremgr
tcp,2035,imsldoc
tcp,2038,objectmanager
tcp,2040,lam
tcp,2041,w32.korgo worm / interbase
tcp,2042,isis
tcp,2043,isis-bcast
tcp,2044,rimsl
tcp,2045,cdfunc
tcp,2046,sdfunc
tcp,2047,dls
tcp,2048,dls-monitor
tcp,2049,network file system - sun microsystems
tcp,2053,kerberos de-multiplexer
tcp,2054,distrib-net
tcp,2065,data link switch read port number
tcp,2067,data link switch write port number
tcp,2080,wingate
tcp,2090,load report protocol
tcp,2091,prp
tcp,2092,descent 3
tcp,2093,nbx cc
tcp,2094,nbx au
tcp,2095,nbx ser
tcp,2096,nbx dir
tcp,2097,jet form preview
tcp,2098,dialog port
tcp,2099,h.225.0 annex g
tcp,2100,amiganetfs
tcp,2101,microsoft message queuing / rtcm-sc104
tcp,2102,zephyr server
tcp,2103,microsoft message queuing rpc / zephyr serv-hm connection
tcp,2104,zephyr hostmanager
tcp,2105,microsoft message queuing rpc / minipay
tcp,2106,mzap
tcp,2107,microsoft message queuing management / bintec admin
tcp,2108,comcam
tcp,2109,ergolight
tcp,2110,umsp
tcp,2111,dsatp
tcp,2112,idonix metanet
tcp,2113,hsl storm
tcp,2114,newheights
tcp,2115,kdm / bugs (windows trojan)
tcp,2116,ccowcmr
tcp,2117,mentaclient
tcp,2118,mentaserver
tcp,2119,gsigatekeeper
tcp,2120,quick eagle networks cp
tcp,2121,ccproxy ftp / scientia-ssdb
tcp,2122,caupc remote control
tcp,2123,gtp-control plane (3gpp)
tcp,2124,elatelink
tcp,2125,lockstep
tcp,2126,pktcable-cops
tcp,2127,index-pc-wb
tcp,2128,net steward control
tcp,2129,cs-live.com
tcp,2130,swc-xds
tcp,2131,avantageb2b
tcp,2132,avail-epmap
tcp,2133,zymed-zpp
tcp,2134,avenue
tcp,2135,grid resource information server
tcp,2136,appworxsrv
tcp,2137,connect
tcp,2138,unbind-cluster
tcp,2139,ias-auth
tcp,2140,ias-reg
tcp,2141,ias-admind
tcp,2142,tdm-over-ip
tcp,2143,live vault job control
tcp,2144,live vault fast object transfer
tcp,2145,live vault remote diagnostic console support
tcp,2146,live vault admin event notification
tcp,2147,live vault authentication
tcp,2148,veritas universal communication layer
tcp,2149,acptsys
tcp,2150,dynamic3d
tcp,2151,docent
tcp,2152,gtp-user plane (3gpp)
tcp,2165,x-bone api
tcp,2166,iwserver
tcp,2180,millicent vendor gateway server
tcp,2181,eforward
tcp,2190,tivoconnect beacon
tcp,2191,tvbus messaging
tcp,2200,ici
tcp,2201,advanced training system program
tcp,2202,int. multimedia teleconferencing cosortium
tcp,2213,kali
tcp,2220,ganymede
tcp,2221,rockwell csp1
tcp,2222,rockwell csp2
tcp,2223,rockwell csp3
tcp,2232,ivs video default
tcp,2233,infocrypt
tcp,2234,directplay
tcp,2235,sercomm-wlink
tcp,2236,nani
tcp,2237,optech port1 license manager
tcp,2238,aviva sna server
tcp,2239,image query
tcp,2240,recipe
tcp,2241,ivs daemon
tcp,2242,folio remote server
tcp,2243,magicom protocol
tcp,2244,nms server
tcp,2245,hao
tcp,2279,xmquery
tcp,2280,lnvpoller
tcp,2281,lnvconsole
tcp,2282,lnvalarm
tcp,2283,dumaru.y (windows trojan) / lnvstatus
tcp,2284,lnvmaps
tcp,2285,lnvmailmon
tcp,2286,nas-metering
tcp,2287,dna
tcp,2288,netml
tcp,2294,konshus license manager (flex)
tcp,2295,advant license manager
tcp,2296,theta license manager (rainbow)
tcp,2297,d2k datamover 1
tcp,2298,d2k datamover 2
tcp,2299,pc telecommute
tcp,2300,cvmmon
tcp,2301,compaq http
tcp,2302,bindery support
tcp,2303,proxy gateway
tcp,2304,attachmate uts
tcp,2305,mt scaleserver
tcp,2306,tappi boxnet
tcp,2307,pehelp
tcp,2308,sdhelp
tcp,2309,sd server
tcp,2310,sd client
tcp,2311,message service
tcp,2313,iapp (inter access point protocol)
tcp,2314,cr websystems
tcp,2315,precise sft.
tcp,2316,sent license manager
tcp,2317,attachmate g32
tcp,2318,cadence control
tcp,2319,infolibria
tcp,2320,siebel ns
tcp,2321,rdlap over udp
tcp,2322,ofsd
tcp,2323,3d-nfsd
tcp,2324,cosmocall
tcp,2325,design space license management
tcp,2326,idcp
tcp,2327,xingcsm
tcp,2328,netrix sftm
tcp,2329,nvd
tcp,2330,tscchat
tcp,2331,agentview
tcp,2332,rcc host
tcp,2333,snapp
tcp,2334,ace client auth
tcp,2335,ace proxy
tcp,2336,apple ug control
tcp,2337,ideesrv
tcp,2338,norton lambert
tcp,2339,3com webview
tcp,2340,wrs registry
tcp,2341,xio status
tcp,2342,seagate manage exec
tcp,2343,nati logos
tcp,2344,fcmsys
tcp,2345,dbm
tcp,2346,game connection port
tcp,2347,game announcement and location
tcp,2348,information to query for game status
tcp,2349,diagnostics port
tcp,2350,psbserver
tcp,2351,psrserver
tcp,2352,pslserver
tcp,2353,pspserver
tcp,2354,psprserver
tcp,2355,psdbserver
tcp,2356,gxt license managemant
tcp,2357,unihub server
tcp,2358,futrix
tcp,2359,flukeserver
tcp,2360,nexstorindltd
tcp,2361,tl1
tcp,2362,digiman
tcp,2363,media central nfsd
tcp,2364,oi-2000
tcp,2365,dbref
tcp,2366,qip-login
tcp,2367,service control
tcp,2368,opentable
tcp,2369,acs2000 dsp
tcp,2370,l3-hbmon
tcp,2381,compaq https
tcp,2382,microsoft olap
tcp,2383,microsoft olap
tcp,2384,sd-request
tcp,2389,openview session mgr
tcp,2390,rsmtp
tcp,2391,3com net management
tcp,2392,tactical auth
tcp,2393,ms olap 1
tcp,2394,ms olap 2
tcp,2395,lan900 remote
tcp,2396,wusage
tcp,2397,ncl
tcp,2398,orbiter
tcp,2399,filemaker inc. - data access layer
tcp,2400,opequus server
tcp,2401,cvspserver
tcp,2402,taskmaster 2000 server
tcp,2403,taskmaster 2000 web
tcp,2404,iec870-5-104
tcp,2405,trc netpoll
tcp,2406,jediserver
tcp,2407,orion
tcp,2408,optimanet
tcp,2409,sns protocol
tcp,2410,vrts registry
tcp,2411,netwave ap management
tcp,2412,cdn
tcp,2413,orion-rmi-reg
tcp,2414,interlingua
tcp,2415,comtest
tcp,2416,rmt server
tcp,2417,composit server
tcp,2418,cas
tcp,2419,attachmate s2s
tcp,2420,dsl remote management
tcp,2421,g-talk
tcp,2422,crmsbits
tcp,2423,rnrp
tcp,2424,kofax-svr
tcp,2425,fujitsu app manager
tcp,2426,appliant tcp
tcp,2427,media gateway control protocol gateway
tcp,2428,one way trip time
tcp,2429,ft-role
tcp,2430,venus
tcp,2431,venus-se
tcp,2432,codasrv
tcp,2433,codasrv-se
tcp,2434,pxc-epmap
tcp,2435,optilogic
tcp,2436,top/x
tcp,2437,unicontrol
tcp,2438,msp
tcp,2439,sybasedbsynch
tcp,2440,spearway lockers
tcp,2441,pvsw-inet
tcp,2442,netangel
tcp,2443,powerclient central storage facility
tcp,2444,bt pp2 sectrans
tcp,2445,dtn1
tcp,2446,bues_service
tcp,2447,openview nnm daemon
tcp,2448,hpppsvr
tcp,2449,ratl
tcp,2450,netadmin
tcp,2451,netchat
tcp,2452,snifferclient
tcp,2453,madge-om
tcp,2454,indx-dds
tcp,2455,wago-io-system
tcp,2456,altav-remmgt
tcp,2457,rapido_ip
tcp,2458,griffin
tcp,2459,community
tcp,2460,ms-theater
tcp,2461,qadmifoper
tcp,2462,qadmifevent
tcp,2463,symbios raid
tcp,2464,direcpc si
tcp,2465,load balance management
tcp,2466,load balance forwarding
tcp,2467,high criteria
tcp,2468,qip_msgd
tcp,2469,mti-tcs-comm
tcp,2470,taskman port
tcp,2471,seaodbc
tcp,2472,c3
tcp,2473,aker-cdp
tcp,2474,vital analysis
tcp,2475,ace server
tcp,2476,ace server propagation
tcp,2477,secursight certificate valifation service
tcp,2478,secursight authentication server (sll)
tcp,2479,secursight event logging server (ssl)
tcp,2480,lingwood's detail
tcp,2481,oracle giop
tcp,2482,oracle giop ssl
tcp,2483,oracle ttc
tcp,2484,oracle ttc ssl
tcp,2485,net objects1
tcp,2486,net objects2
tcp,2487,policy notice service
tcp,2488,moy corporation
tcp,2489,tsilb
tcp,2490,qip_qdhcp
tcp,2491,conclave cpp
tcp,2492,groove
tcp,2493,talarian mqs
tcp,2494,bmc ar
tcp,2495,fast remote services
tcp,2496,dirgis
tcp,2497,quad db
tcp,2498,odn-castraq
tcp,2499,unicontrol
tcp,2500,resource tracking system server
tcp,2501,resource tracking system client
tcp,2502,kentrox protocol
tcp,2503,nms-dpnss
tcp,2504,wlbs
tcp,2505,torque-traffic
tcp,2506,jbroker
tcp,2507,spock
tcp,2508,jdatastore
tcp,2509,fjmpss
tcp,2510,fjappmgrbulk
tcp,2511,metastorm
tcp,2512,citrix ima
tcp,2513,citrix admin
tcp,2514,facsys ntp
tcp,2515,facsys router
tcp,2516,main control
tcp,2517,h.323 annex e call signaling transport
tcp,2518,willy
tcp,2519,globmsgsvc
tcp,2520,pvsw
tcp,2521,adaptec manager
tcp,2522,windb
tcp,2523,qke llc v.3
tcp,2524,optiwave license management
tcp,2525,ms v-worlds
tcp,2526,ema license manager
tcp,2527,iq server
tcp,2528,ncr ccl
tcp,2529,uts ftp
tcp,2530,vr commerce
tcp,2531,ito-e gui
tcp,2532,ovtopmd
tcp,2533,snifferserver
tcp,2534,combox web access
tcp,2535,w32.beagle trojan / madcap
tcp,2536,btpp2audctr1
tcp,2537,upgrade protocol
tcp,2538,vnwk-prapi
tcp,2539,vsi admin
tcp,2540,lonworks
tcp,2541,lonworks2
tcp,2542,davinci
tcp,2543,reftek
tcp,2544,novell zen
tcp,2545,sis-emt
tcp,2546,vytalvaultbrtp
tcp,2547,vytalvaultvsmp
tcp,2548,vytalvaultpipe
tcp,2549,ipass
tcp,2550,ads
tcp,2551,isg uda server
tcp,2552,call logging
tcp,2553,efidiningport
tcp,2554,vcnet-link v10
tcp,2555,compaq wcp
tcp,2556,w32.beagle.n trojan / madcap / nicetec-nmsvc
tcp,2557,nicetec-mgmt
tcp,2558,pcle multi media
tcp,2559,lstp
tcp,2560,labrat
tcp,2561,mosaixcc
tcp,2562,delibo
tcp,2563,cti redwood
tcp,2564,hp 3000 ns/vt block mode telnet
tcp,2565,coordinator server
tcp,2566,pcs-pcw
tcp,2567,cisco line protocol
tcp,2568,spam trap
tcp,2569,sonus call signal
tcp,2570,hs port
tcp,2571,cecsvc
tcp,2572,ibp
tcp,2573,trust establish
tcp,2574,blockade bpsp
tcp,2575,hl7
tcp,2576,tcl pro debugger
tcp,2577,scriptics lsrvr
tcp,2578,rvs isdn dcp
tcp,2579,mpfoncl
tcp,2580,tributary
tcp,2581,argis te
tcp,2582,argis ds
tcp,2583,mon / wincrash2
tcp,2584,cyaserv
tcp,2585,netx server
tcp,2586,netx agent
tcp,2587,masc
tcp,2588,privilege
tcp,2589,quartus tcl
tcp,2590,idotdist
tcp,2591,maytag shuffle
tcp,2592,netrek
tcp,2593,mns mail notice service
tcp,2594,data base server
tcp,2595,world fusion 1
tcp,2596,world fusion 2
tcp,2597,homestead glory
tcp,2598,citrix ma client
tcp,2599,meridian data
tcp,2600,hpstgmgr
tcp,2601,discp client
tcp,2602,discp server
tcp,2603,service meter
tcp,2604,nsc ccs
tcp,2605,nsc posa
tcp,2606,dell netmon
tcp,2607,dell connection
tcp,2608,wag service
tcp,2609,system monitor
tcp,2610,versatek
tcp,2611,lionhead
tcp,2612,qpasa agent
tcp,2613,smntubootstrap
tcp,2614,never offline
tcp,2615,firepower
tcp,2616,appswitch-emp
tcp,2617,clinical context managers
tcp,2618,priority e-com
tcp,2619,bruce
tcp,2620,lpsrecommender
tcp,2621,miles apart jukebox server
tcp,2622,metricadbc
tcp,2623,lmdp
tcp,2624,aria
tcp,2625,blwnkl port
tcp,2626,gbjd816
tcp,2627,moshe beeri
tcp,2628,dict
tcp,2629,sitara server
tcp,2630,sitara management
tcp,2631,sitara dir
tcp,2632,irdg post
tcp,2633,interintelli
tcp,2634,pk electronics
tcp,2635,back burner
tcp,2636,solve
tcp,2637,import document service
tcp,2638,sybase anywhere
tcp,2639,aminet
tcp,2640,sabbagh associates licence manager
tcp,2641,hdl server
tcp,2642,tragic
tcp,2643,gte-samp
tcp,2644,travsoft ipx tunnel
tcp,2645,novell ipx cmd
tcp,2646,and licence manager
tcp,2647,syncserver
tcp,2648,upsnotifyprot
tcp,2649,vpsipport
tcp,2650,eristwoguns
tcp,2651,ebinsite
tcp,2652,interpathpanel
tcp,2653,sonus
tcp,2654,corel vnc admin
tcp,2655,unix nt glue
tcp,2656,kana
tcp,2657,sns dispatcher
tcp,2658,sns admin
tcp,2659,sns query
tcp,2660,gc monitor
tcp,2661,olhost
tcp,2662,bintec-capi
tcp,2663,bintec-tapi
tcp,2664,command mq gm
tcp,2665,command mq pm
tcp,2666,extensis
tcp,2667,alarm clock server
tcp,2668,alarm clock client
tcp,2669,toad
tcp,2670,tve announce
tcp,2671,newlixreg
tcp,2672,nhserver
tcp,2673,first call 42
tcp,2674,ewnn
tcp,2675,ttc etap
tcp,2676,simslink
tcp,2677,gadget gate 1 way
tcp,2678,gadget gate 2 way
tcp,2679,sync server ssl
tcp,2680,pxc-sapxom
tcp,2681,mpnjsomb
tcp,2682,srsp
tcp,2683,ncdloadbalance
tcp,2684,mpnjsosv
tcp,2685,mpnjsocl
tcp,2686,mpnjsomg
tcp,2687,pq-lic-mgmt
tcp,2688,md-cf-http
tcp,2689,fastlynx
tcp,2690,hp nnm embedded database
tcp,2691,it internet
tcp,2692,admins lms
tcp,2693,belarc-http
tcp,2694,pwrsevent
tcp,2695,vspread
tcp,2696,unify admin
tcp,2697,oce snmp trap port
tcp,2698,mck-ivpip
tcp,2699,csoft plus client
tcp,2700,tqdata
tcp,2701,sms remote control (control)
tcp,2702,sms remote control (data)
tcp,2703,sms remote control (chat)
tcp,2704,sms remote file transfer
tcp,2705,sds admin
tcp,2706,ncd mirroring
tcp,2707,emcsymapiport
tcp,2708,banyan-net
tcp,2709,supermon
tcp,2710,sso service
tcp,2711,sso control
tcp,2712,axapta object communication protocol
tcp,2713,raven1
tcp,2714,raven2
tcp,2715,hpstgmgr2
tcp,2716,inova ip disco
tcp,2717,pn requester
tcp,2718,pn requester 2
tcp,2719,scan & change
tcp,2720,wkars
tcp,2721,smart diagnose
tcp,2722,proactive server
tcp,2723,watchdog nt
tcp,2724,qotps
tcp,2725,sql analysis services / msolap ptp2
tcp,2726,tams
tcp,2727,media gateway control protocol call agent
tcp,2728,sqdr
tcp,2729,tcim control
tcp,2730,nec raidplus
tcp,2731,netdragon messanger
tcp,2732,g5m
tcp,2733,signet ctf
tcp,2734,ccs software
tcp,2735,monitor console
tcp,2736,radwiz nms srv
tcp,2737,srp feedback
tcp,2738,ndl tcp-osi gateway
tcp,2739,tn timing
tcp,2740,alarm
tcp,2741,tsb
tcp,2742,tsb2
tcp,2743,murx
tcp,2744,honyaku
tcp,2745,w32.beagle.c trojan) / urbisnet
tcp,2746,cpudpencap
tcp,2747,yk.fujitsu.co.jp
tcp,2748,yk.fujitsu.co.jp
tcp,2749,yk.fujitsu.co.jp
tcp,2750,yk.fujitsu.co.jp
tcp,2751,yk.fujitsu.co.jp
tcp,2752,rsisys access
tcp,2753,de-spot
tcp,2754,apollo cc
tcp,2755,express pay
tcp,2756,simplement-tie
tcp,2757,cnrp
tcp,2758,apollo status
tcp,2759,apollo gms
tcp,2760,saba ms
tcp,2761,dicom iscl
tcp,2762,dicom tls
tcp,2763,desktop dna
tcp,2764,data insurance
tcp,2765,qip-audup
tcp,2766,compaq scp
tcp,2767,uadtc
tcp,2768,uacs
tcp,2769,single point mvs
tcp,2770,veronica
tcp,2771,vergence cm
tcp,2772,auris
tcp,2773,pc backup
tcp,2774,pc backup
tcp,2775,smmp
tcp,2776,ridgeway systems & software
tcp,2777,ridgeway systems & software
tcp,2778,gwen-sonya
tcp,2779,lbc sync
tcp,2780,lbc control
tcp,2781,whosells
tcp,2782,everydayrc
tcp,2783,aises
tcp,2784,world wide web - development
tcp,2785,aic-np
